record,metric,ALL,AC,DC,beats_per_window,edge_weight,direction,freq_domain
05IYOVJUVJ_Myo,maximum_flow_value_left_to_right,-0.0020328859874124408,-0.04001459693759594,0.07841999486846529,4,None,None,False
05IYOVJUVJ_Myo,shortest_path_length_left_to_right,0.002391235949061848,0.02372638693819971,-0.0007565887605689005,4,None,None,False
0DX3GQVDAM_Myo,minimum_cut_value_left_to_right,-0.017099781715487435,-0.09725633801027897,0.13054498459341027,4,None,None,False
0DX3GQVDAM_Myo,maximum_flow_value_left_to_right,-0.017099781715487435,-0.09725633801027897,0.13054498459341027,4,None,None,False
0DX3GQVDAM_Myo,shortest_path_length_left_to_right,0.02259349223396678,0.05917795884887758,-0.017437118665468314,4,None,None,False
05XRGX2RI1_Myo,minimum_cut_value_left_to_right,0.031021818240835296,-0.07986485871111804,0.15577063446223174,4,None,None,False
05XRGX2RI1_Myo,maximum_flow_value_left_to_right,0.031021818240835296,-0.07986485871111804,0.15577063446223174,4,None,None,False
05XRGX2RI1_Myo,shortest_path_length_left_to_right,-0.015104887736101028,0.019170870879478673,-0.01219314072407782,4,None,None,False
04FCFG42Y4_Myo,minimum_cut_value_left_to_right,-0.010879710751909247,-0.06558339068420188,0.10495267296513411,4,None,None,False
04FCFG42Y4_Myo,maximum_flow_value_left_to_right,-0.010879710751909247,-0.06558339068420188,0.10495267296513411,4,None,None,False
04FCFG42Y4_Myo,shortest_path_length_left_to_right,-0.003047465186810602,0.02126580916507139,-0.009627719431035152,4,None,None,False
0A9Y9KRUR2_-,minimum_cut_value_left_to_right,0.3792212953026065,0.33430382296020783,0.412512487633491,4,v_distance,left_to_right,False
0A9Y9KRUR2_-,maximum_flow_value_left_to_right,0.3792212953026065,0.33430382296020783,0.412512487633491,4,v_distance,left_to_right,False
0A9Y9KRUR2_-,shortest_path_length_left_to_right,0.9960209612859009,0.9972436993045584,0.9989653692083349,4,v_distance,left_to_right,False
0A9Y9KRUR2_-,dag_longest_path_length,0.3210531857849365,0.3301971371187308,0.35522374654861855,4,v_distance,left_to_right,False
0ETZCT1E6D_Myo,minimum_cut_value_left_to_right,0.0026082283598101593,-0.045259757611567,0.1272498313140908,4,None,None,False
0ETZCT1E6D_Myo,maximum_flow_value_left_to_right,0.0026082283598101593,-0.045259757611567,0.1272498313140908,4,None,None,False
0ETZCT1E6D_Myo,shortest_path_length_left_to_right,0.00817306755588797,0.04694782720712429,-0.0035469255745794823,4,None,None,False
00ZMZ3EJB1_Myo,minimum_cut_value_left_to_right,0.04806624301887329,-0.06718588262430404,0.2239260787171366,4,None,None,False
00ZMZ3EJB1_Myo,maximum_flow_value_left_to_right,0.04806624301887329,-0.06718588262430404,0.2239260787171366,4,None,None,False
00ZMZ3EJB1_Myo,shortest_path_length_left_to_right,-0.011882280074287495,0.04397704225116852,-0.06815790373346635,4,None,None,False
0BV541IT0J_-,minimum_cut_value_left_to_right,0.03765991083698079,-0.023814017530575472,0.14003918675563098,4,None,None,False
0BV541IT0J_-,maximum_flow_value_left_to_right,0.03765991083698079,-0.023814017530575472,0.14003918675563098,4,None,None,False
0BV541IT0J_-,shortest_path_length_left_to_right,-0.002518104451821844,0.05200273924958868,-0.04533212901438945,4,None,None,False
03EEXEX8SQ_-,minimum_cut_value_left_to_right,-0.017181854657712325,-0.016573274700715093,0.03409514538914141,4,None,None,False
03EEXEX8SQ_-,maximum_flow_value_left_to_right,-0.017181854657712325,-0.016573274700715093,0.03409514538914141,4,None,None,False
03EEXEX8SQ_-,shortest_path_length_left_to_right,0.006422613688428504,0.01652428877163973,0.02212128803635998,4,None,None,False
02IB650NH4_Myo,minimum_cut_value_left_to_right,-0.013179420086558634,-0.07777567408519995,0.1639518209019929,4,None,None,False
02IB650NH4_Myo,maximum_flow_value_left_to_right,-0.013179420086558634,-0.07777567408519995,0.1639518209019929,4,None,None,False
02IB650NH4_Myo,shortest_path_length_left_to_right,0.003480325928004843,0.05512032569448546,-0.04108003920653019,4,None,None,False
03IP14OENV_Myo,minimum_cut_value_left_to_right,0.005455032918345823,-0.06607916307351655,0.09177952348929863,4,None,left_to_right,False
03IP14OENV_Myo,maximum_flow_value_left_to_right,0.005455032918345823,-0.06607916307351655,0.09177952348929863,4,None,left_to_right,False
03IP14OENV_Myo,shortest_path_length_left_to_right,0.003646014448944812,-0.004055066491041777,0.009582146611266402,4,None,left_to_right,False
03IP14OENV_Myo,dag_longest_path_length,,,,4,None,left_to_right,False
01A7A67Q3U_Myo,minimum_cut_value_left_to_right,-0.02578825870303412,-0.08001149192027023,0.13646314829361755,4,None,left_to_right,False
01A7A67Q3U_Myo,maximum_flow_value_left_to_right,-0.02578825870303412,-0.08001149192027023,0.13646314829361755,4,None,left_to_right,False
01A7A67Q3U_Myo,shortest_path_length_left_to_right,-0.010019992936348853,-0.013496071324621644,-0.015043147236817982,4,None,left_to_right,False
01A7A67Q3U_Myo,dag_longest_path_length,,,,4,None,left_to_right,False
0FBIQ4IN69_Myo,minimum_cut_value_left_to_right,0.009400208544298157,-0.02635650332139959,0.014900808059052839,4,None,None,False
0FBIQ4IN69_Myo,maximum_flow_value_left_to_right,0.009400208544298157,-0.02635650332139959,0.014900808059052839,4,None,None,False
0FBIQ4IN69_Myo,shortest_path_length_left_to_right,-0.005602219808254739,0.03259097898077656,-0.008940631475707967,4,None,None,False
03IP14OENV_Myo,minimum_cut_value_left_to_right,0.7005055475750022,0.6878683094910764,0.7172346698591396,4,slope,None,False
03IP14OENV_Myo,maximum_flow_value_left_to_right,0.7005055475750022,0.6878683094910764,0.7172346698591396,4,slope,None,False
03IP14OENV_Myo,shortest_path_length_left_to_right,,,,4,slope,None,False
01GQUPVDQ7_Myo,minimum_cut_value_left_to_right,0.009826289495899785,-0.04284788355490015,0.05222535469333,4,None,left_to_right,False
01GQUPVDQ7_Myo,maximum_flow_value_left_to_right,0.009826289495899785,-0.04284788355490015,0.05222535469333,4,None,left_to_right,False
01GQUPVDQ7_Myo,shortest_path_length_left_to_right,0.0018728564997953039,-0.004641633106383078,0.05917801750884815,4,None,left_to_right,False
01GQUPVDQ7_Myo,dag_longest_path_length,,,,4,None,left_to_right,False
01A7A67Q3U_Myo,minimum_cut_value_left_to_right,0.39474289193586337,0.37569463728789926,0.4581706787443229,4,slope,None,False
01A7A67Q3U_Myo,maximum_flow_value_left_to_right,0.39474289193586337,0.37569463728789926,0.4581706787443229,4,slope,None,False
01A7A67Q3U_Myo,shortest_path_length_left_to_right,,,,4,slope,None,False
05ZMDBZ8D8_-,minimum_cut_value_left_to_right,-0.010540099204487759,-0.0005706363538833669,0.0406957073969936,4,None,left_to_right,False
05ZMDBZ8D8_-,maximum_flow_value_left_to_right,-0.010540099204487759,-0.0005706363538833669,0.0406957073969936,4,None,left_to_right,False
05ZMDBZ8D8_-,shortest_path_length_left_to_right,0.006663114845171985,-0.0012086520053540119,0.024542858083617464,4,None,left_to_right,False
05ZMDBZ8D8_-,dag_longest_path_length,,,,4,None,left_to_right,False
0B4WQ978DC_-,minimum_cut_value_left_to_right,-0.011720822477254169,-0.007129551171230926,0.00756026329910678,4,None,left_to_right,False
0B4WQ978DC_-,maximum_flow_value_left_to_right,-0.011720822477254169,-0.007129551171230926,0.00756026329910678,4,None,left_to_right,False
0B4WQ978DC_-,shortest_path_length_left_to_right,0.004496519961554256,-0.02208868013461241,0.05359125641886543,4,None,left_to_right,False
0B4WQ978DC_-,dag_longest_path_length,,,,4,None,left_to_right,False
0FBIQ4IN69_Myo,minimum_cut_value_left_to_right,0.009400208544298157,-0.02635650332139959,0.014900808059052839,4,None,left_to_right,False
